127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/js/web2py.js, HTTP/1.1, 304, 0.000995
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/js/marked.min.js, HTTP/1.1, 304, 0.000995
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/css/calendar.css, HTTP/1.1, 304, 0.000999
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/js/vue.min.js, HTTP/1.1, 304, 0.001000

127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/css/custom.css, HTTP/1.1, 304, 0.000999
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/css/web2py.css, HTTP/1.1, 304, 0.001999
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-04-24 21:38:58, GET, /HW2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/default/index, HTTP/1.1, 200, 0.012998
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.002997
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/css/web2py.css, HTTP/1.1, 200, 0.004997
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/css/calendar.css, HTTP/1.1, 200, 0.003999
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/css/custom.css, HTTP/1.1, 200, 0.004997
127.0.0.1, 2019-04-24 21:39:00, GET, /HW2/static/css/myapp.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-04-24 21:39:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-04-24 21:39:07, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-04-24 21:39:07, GET, /HW2/static/css/stupid.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2019-04-24 21:39:08, GET, /HW2/static/css/web2py.css, HTTP/1.1, 200, 0.001002
127.0.0.1, 2019-04-24 21:39:08, GET, /HW2/static/css/custom.css, HTTP/1.1, 200, 0.001001
127.0.0.1, 2019-04-24 22:17:54, GET, /HW2/default/index, HTTP/1.1, 500, 0.089410
127.0.0.1, 2019-04-24 22:17:58, GET, /admin/default/ticket/HW2/127.0.0.1.2019-04-24.22-17-54.942ea0ef-8279-44da-a4fc-5bd72ea10265, HTTP/1.1, 200, 0.044983
127.0.0.1, 2019-04-24 22:17:58, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.001990
127.0.0.1, 2019-04-25 19:30:20, GET, /, HTTP/1.1, 303, 0.861075
127.0.0.1, 2019-04-25 19:30:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.169264
